timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1584414700450,1021,Initial,200,OK,Thread Group 1-1,text,true,"Element type ""_L"" must be followed by either attribute specifications, "">"" or ""/>"".
See log file for further details.",7061,130,2,2,1020,0,912
1584414701580,90,Login,200,OK,Thread Group 1-1,text,true,"Element type ""_L"" must be followed by either attribute specifications, "">"" or ""/>"".
See log file for further details.",7263,348,2,2,90,0,0
1584414701291,423,Initial,200,OK,Thread Group 1-2,text,true,"Element type ""_L"" must be followed by either attribute specifications, "">"" or ""/>"".
See log file for further details.",7061,130,2,2,423,0,350
1584414701681,75,SAML,200,OK,Thread Group 1-1,text,true,,7061,200,2,2,75,0,0
1584414701734,74,Login,200,OK,Thread Group 1-2,text,true,"Element type ""_L"" must be followed by either attribute specifications, "">"" or ""/>"".
See log file for further details.",7254,339,2,2,74,0,0
1584414701821,73,SAML,200,OK,Thread Group 1-2,text,true,,7061,200,2,2,73,0,0
1584414702326,376,Initial,200,OK,Thread Group 1-3,text,true,"Element type ""_L"" must be followed by either attribute specifications, "">"" or ""/>"".
See log file for further details.",7061,130,3,3,376,0,305
1584414702706,71,Login,200,OK,Thread Group 1-3,text,true,"Element type ""_L"" must be followed by either attribute specifications, "">"" or ""/>"".
See log file for further details.",7263,348,3,3,71,0,0
1584414702809,71,SAML,200,OK,Thread Group 1-3,text,true,,7061,200,3,3,71,0,0
1584414701895,1168,Logout,200,OK,Thread Group 1-2,text,true,,8128,689,3,3,456,0,0
1584414701757,1521,Logout,200,OK,Thread Group 1-1,text,true,,8128,689,2,2,587,0,0
1584414702881,522,Logout,200,OK,Thread Group 1-3,text,true,,8128,689,2,2,147,0,0
1584414703325,363,Initial,200,OK,Thread Group 1-4,text,true,"Element type ""_L"" must be followed by either attribute specifications, "">"" or ""/>"".
See log file for further details.",7061,130,1,1,363,0,291
1584414703691,72,Login,200,OK,Thread Group 1-4,text,true,"Element type ""_L"" must be followed by either attribute specifications, "">"" or ""/>"".
See log file for further details.",7257,342,1,1,72,0,0
1584414703781,72,SAML,200,OK,Thread Group 1-4,text,true,,7061,200,1,1,71,0,0
1584414703853,526,Logout,200,OK,Thread Group 1-4,text,true,,8128,689,2,2,151,0,0
1584414704359,373,Initial,200,OK,Thread Group 1-5,text,true,"Element type ""_L"" must be followed by either attribute specifications, "">"" or ""/>"".
See log file for further details.",7061,130,1,1,373,0,299
1584414704742,73,Login,200,OK,Thread Group 1-5,text,true,"Element type ""_L"" must be followed by either attribute specifications, "">"" or ""/>"".
See log file for further details.",7254,339,1,1,73,0,0
1584414704826,73,SAML,200,OK,Thread Group 1-5,text,true,,7061,200,1,1,73,0,0
1584414704900,534,Logout,200,OK,Thread Group 1-5,text,true,,8128,689,1,1,151,0,0
